49=0, 306540, 188890, 140628, 107604, 105522, 92729, 68756, 68632, 68711, 68532, 68419, 61457, 61310
50=0, 306517, 190335, 140767, 106907, 105597, 92993, 68827, 68686, 68985, 68937, 68907, 61644, 61340
51=0, 306484, 190553, 140784, 106267, 105512, 93076, 68751, 68587, 68879, 69225, 69035, 61819, 61419
52=0, 307154, 190966, 140771, 105643, 105654, 93411, 69038, 68792, 68641, 69236, 68593, 61656, 61465
53=0, 116531, 61656, 46353, 35167, 29678, 25392, 25174, 24901, 24989, 19620, 19441, 15803, 15895
54=0, 116253, 61578, 46335, 35068, 29698, 25395, 25210, 24928, 24882, 19587, 19432, 15706, 15765
55=0, 116388, 61518, 46401, 34969, 29763, 25386, 25147, 24950, 24816, 19558, 19372, 15724, 15739
56=0, 116533, 61566, 46405, 34904, 29645, 25419, 25143, 24979, 24858, 19543, 19324, 15716, 15720
57=0, 24523, 15120, 10863, 9349, 8096, 8015, 7930, 6878, 6865, 6711, 6684, 6635, 6569
58=0, 24488, 14991, 10828, 9320, 8140, 8068, 7968, 6922, 7016, 6786, 6752, 6741, 6614
59=0, 24473, 15027, 10869, 9313, 8117, 8087, 8020, 6922, 6939, 6821, 6734, 6733, 6653
60=0, 24516, 14981, 10896, 9288, 8104, 8083, 7945, 6920, 6902, 6832, 6758, 6744, 6696
61=0, 226045, 130270, 95606, 82827, 72503, 53795, 53628, 53298, 53496, 46203, 46212, 46234, 46143
62=0, 225966, 130519, 95638, 82723, 72570, 53585, 53574, 53542, 53673, 46259, 46221, 46423, 46281
63=0, 226668, 130473, 95765, 82507, 72711, 53723, 53593, 53348, 53623, 46133, 46273, 46464, 46208
64=0, 225598, 130498, 95665, 82497, 72633, 53729, 53617, 53483, 53711, 46129, 46261, 46407, 46235
65=0, 95151, 50735, 39879, 28542, 24890, 24807, 24715, 19108, 19196, 15173, 15222, 15309, 15264
66=0, 95391, 50615, 39882, 28528, 24933, 24746, 24733, 19052, 19132, 15134, 15152, 15233, 15170
67=0, 95322, 50610, 39885, 28573, 24956, 24767, 24640, 19057, 19163, 15143, 15121, 15240, 15155
68=0, 95009, 50521, 39900, 28620, 24973, 24757, 24618, 19026, 19162, 15137, 15119, 15206, 15176
69=0, 26775, 15149, 12059, 8971, 9008, 7630, 7425, 6302, 6277, 6187, 6094, 6118, 6079
70=0, 26798, 15094, 12061, 8908, 8977, 7656, 7475, 6343, 6346, 6234, 6121, 6158, 6110
71=0, 26796, 15103, 12051, 8910, 8996, 7664, 7498, 6454, 6358, 6232, 6137, 6161, 6117
72=0, 26802, 15093, 12058, 8932, 8996, 7674, 7496, 6358, 6323, 6239, 6141, 6145, 6115
73=0, 26790, 15102, 12040, 8944, 9002, 7668, 7492, 6371, 6341, 6269, 6159, 6177, 6100
74=0, 26863, 15129, 12065, 8957, 8984, 7659, 7492, 6379, 6331, 6260, 6162, 6167, 6125
75=0, 26855, 15096, 12075, 8962, 8995, 7664, 7496, 6376, 6319, 6265, 6166, 6162, 6134
76=0, 26796, 15087, 12047, 8925, 8985, 7639, 7449, 6348, 6308, 6227, 6139, 6133, 6115
77=0, 26891, 15116, 12017, 8942, 9004, 7630, 7472, 6380, 6339, 6243, 6158, 6141, 6114
78=0, 26966, 15211, 12026, 8952, 8979, 7640, 7470, 6373, 6329, 6237, 6147, 6146, 6133
79=0, 26910, 15102, 12044, 8954, 8993, 7651, 7486, 6384, 6327, 6257, 6136, 6172, 6111
80=0, 26967, 15114, 12042, 8936, 8989, 7642, 7447, 6364, 6327, 6246, 6137, 6161, 6110
81=0, 26909, 15242, 12045, 8934, 8976, 7636, 7460, 6377, 6325, 6244, 6139, 6162, 6104
82=0, 26943, 15105, 12064, 8962, 8979, 7647, 7474, 6372, 6378, 6246, 6108, 6164, 6109
83=0, 26935, 15177, 12042, 8979, 9003, 7669, 7488, 6386, 6363, 6251, 6123, 6180, 6118
84=0, 26949, 15174, 12065, 8980, 9001, 7676, 7505, 6370, 6349, 6277, 6144, 6171, 6131
85=0, 171295, 106325, 81835, 67166, 55008, 54960, 54929, 47551, 47672, 47676, 47533, 47792, 47319
86=0, 171340, 107392, 82024, 67848, 55268, 55330, 55049, 47713, 47743, 48028, 47876, 47920, 47599
87=0, 172014, 107455, 82044, 68016, 55207, 55243, 55098, 47766, 47700, 47943, 47918, 47818, 47647
88=0, 171624, 107486, 82045, 68325, 55263, 55382, 55037, 47866, 47752, 48173, 47873, 48102, 47789
89=0, 73762, 39816, 29148, 24250, 24518, 18759, 18615, 14646, 14683, 14707, 14657, 14728, 14704
90=0, 73725, 39713, 29137, 24273, 24491, 18742, 18658, 14617, 14618, 14676, 14621, 14612, 14643
91=0, 73862, 39708, 29090, 24286, 24489, 18719, 18619, 14575, 14657, 14666, 14624, 14639, 14603
92=0, 73892, 39752, 29082, 24285, 24540, 18699, 18674, 14577, 14674, 14683, 14610, 14644, 14571
93=0, 14766, 9537, 6733, 6625, 5440, 5389, 5294, 5292, 4388, 4405, 4379, 4412, 4395
94=0, 14753, 9568, 6738, 6615, 5468, 5408, 5331, 5326, 4415, 4411, 4389, 4418, 4373
95=0, 14767, 9537, 6755, 6649, 5475, 5445, 5335, 5315, 4427, 4436, 4389, 4424, 4412
96=0, 14758, 9515, 6753, 6611, 5495, 5466, 5331, 5373, 4468, 4480, 4455, 4484, 4465
97=0, 113355, 67286, 51855, 42677, 43248, 35712, 35624, 35565, 35587, 35850, 35603, 35659, 35521
98=0, 112889, 67280, 51860, 42778, 43246, 35734, 35650, 35672, 35568, 35820, 35658, 35670, 35521
99=0, 112691, 67284, 51907, 42864, 43183, 35726, 35640, 35505, 35522, 35685, 35650, 35690, 35503
100=0, 112825, 67277, 51862, 42974, 43135, 35658, 35574, 35520, 35587, 35636, 35670, 35681, 35562
101=0, 52760, 28840, 24393, 18248, 18218, 14089, 14016, 14080, 14141, 14128, 14124, 14170, 14082
102=0, 52934, 28782, 24314, 18225, 18280, 14099, 14024, 14054, 14050, 14037, 14036, 14130, 13985
103=0, 53011, 28714, 24318, 18240, 18229, 14077, 14021, 14040, 14081, 14035, 14075, 14111, 14020
104=0, 52798, 28712, 24355, 18253, 18233, 14070, 13996, 14018, 14052, 14054, 14022, 14095, 14016
105=0, 13128, 7371, 5800, 4427, 4351, 4340, 4307, 4304, 4318, 4332, 4312, 4339, 4317
106=0, 13112, 7484, 5844, 4478, 4392, 4373, 4332, 4324, 4343, 4339, 4336, 4369, 4335
107=0, 13104, 7389, 5832, 4496, 4411, 4382, 4331, 4330, 4359, 4343, 4343, 4376, 4338
108=0, 13140, 7391, 5840, 4492, 4403, 4373, 4324, 4326, 4360, 4331, 4341, 4414, 4336
109=0, 73465, 44733, 41341, 33660, 33706, 33700, 33630, 33593, 33579, 33578, 33622, 33767, 33629
110=0, 31822, 18197, 18119, 13886, 13927, 13886, 13887, 13905, 13891, 13823, 13870, 13942, 13859


